No.,Title,Year,Rating,Duration (minutes),Rating Amount,Group,Short Description,Directors,Stars
116,Die Hard,1988,8.2,132,980000,PG-13,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia"
117,The Sting,1973,8.3,129,287000,Not Rated,Two grifters team up to pull off the ultimate con.,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw"
118,Like Stars on Earth,2007,8.3,162,214000,R,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,"Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tisca Chopra"
119,Indiana Jones and the Last Crusade,1989,8.2,127,830000,R,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody"
120,Metropolis,1927,8.3,153,192000,R,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich"
121,Snatch,2000,8.2,102,935000,Not Rated,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham"
122,1917,2019,8.2,119,713000,R,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays"
123,L.A. Confidential,1997,8.2,138,635000,Not Rated,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce"
124,Bicycle Thieves,1948,8.3,89,182000,R,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell"
125,Downfall,2004,8.2,156,384000,PG-13,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes"
126,Dangal,2016,8.3,161,221000,R,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh"
127,Taxi Driver,1976,8.2,114,961000,PG-13,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd"
128,Hamilton,2020,8.3,160,124000,R,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr."
129,The Wolf of Wall Street,2013,8.2,180,1700000,PG-13,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie"
130,Batman Begins,2005,8.2,140,1600000,Approved,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe"
131,For a Few Dollars More,1965,8.2,132,284000,PG,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè"
132,Green Book,2018,8.2,130,617000,Approved,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini"
133,Some Like It Hot,1959,8.2,121,291000,Passed,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon"
134,The Truman Show,1998,8.2,103,1300000,PG-13,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,Peter Weir,"Jim Carrey, Ed Harris, Laura Linney"
135,Judgment at Nuremberg,1961,8.3,179,89000,R,"Fictionalized depiction of the 1947 Judges' Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark"
136,The Kid,1921,8.2,68,139000,Approved,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan"
137,The Father,2020,8.2,97,207000,R,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss"
138,Shutter Island,2010,8.2,138,1500000,PG-13,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo"
139,All About Eve,1950,8.2,138,143000,R,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders"
140,There Will Be Blood,2007,8.2,158,661000,PG-13,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds"
141,Jurassic Park,1993,8.2,127,1100000,R,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum"
142,Casino,1995,8.2,178,583000,PG-13,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci"
143,The Sixth Sense,1999,8.2,107,1100000,R,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette"
144,Ran,1985,8.2,160,141000,R,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu"
145,Top Gun: Maverick,2022,8.2,130,753000,R,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller"
146,No Country for Old Men,2007,8.2,122,1100000,R,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin"
147,Pan's Labyrinth,2006,8.2,118,718000,PG-13,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks.",Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López"
148,The Thing,1982,8.2,109,489000,R,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,"Kurt Russell, Wilford Brimley, Keith David"
149,Unforgiven,1992,8.2,130,448000,Approved,Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman"
150,A Beautiful Mind,2001,8.2,135,1000000,Not Rated,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly"
151,Kill Bill: Vol. 1,2003,8.2,111,1200000,R,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah"
152,The Treasure of the Sierra Madre,1948,8.2,126,136000,G,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt"
153,Yojimbo,1961,8.2,110,136000,Approved,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai"
154,Prisoners,2013,8.2,153,852000,PG,"Keller Dover is facing every parent's worst nightmare. His six-year-old daughter, Anna, is missing, together with her friend, Joy, and as minutes turn to hours, panic sets in. The only lead is an RV that had been parked on their street.",Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis"
155,Finding Nemo,2003,8.2,100,1100000,PG,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould"
156,The Great Escape,1963,8.2,172,265000,PG,"Allied officers in a German prisoner of war camp during World War II making a daring plan for a mass escape by hundreds of their men, hoping to draw German personnel and resources away from combat operations.",John Sturges,"Steve McQueen, James Garner, Richard Attenborough"
157,Monty Python and the Holy Grail,1975,8.2,91,582000,PG,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle"
158,Howl's Moving Castle,2004,8.2,119,473000,PG,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin"
159,The Wild Robot,2024,8.2,102,118000,Not Rated,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor"
160,The Elephant Man,1980,8.2,124,268000,G,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft"
161,Dial M for Murder,1954,8.2,105,195000,R,A former tennis star arranges the murder of his adulterous wife.,Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings"
162,Rashomon,1950,8.2,88,187000,R,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori"
163,Gone with the Wind,1939,8.2,238,343000,R,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,Victor Fleming,"Clark Gable, Vivien Leigh, Thomas Mitchell"
164,Chinatown,1974,8.1,130,361000,PG,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston"
165,The Secret in Their Eyes,2009,8.2,129,230000,PG,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago"
166,"Lock, Stock and Two Smoking Barrels",1998,8.1,107,630000,R,"When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran"
167,Klaus,2019,8.2,96,209000,R,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Sergio Pablos, Carlos Martínez López","Jason Schwartzman, J.K. Simmons, Rashida Jones"
168,Inside Out,2015,8.1,95,851000,R,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Pete Docter, Ronnie Del Carmen","Amy Poehler, Bill Hader, Lewis Black"
169,V for Vendetta,2005,8.1,132,1200000,PG,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves"
170,"Three Billboards Outside Ebbing, Missouri",2017,8.1,115,573000,R,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell"
171,Raging Bull,1980,8.1,129,391000,PG-13,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci"
172,The Bridge on the River Kwai,1957,8.1,161,239000,R,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",David Lean,"William Holden, Alec Guinness, Jack Hawkins"
173,Trainspotting,1996,8.1,93,743000,PG-13,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller"
174,Catch Me If You Can,2002,8.1,141,1100000,PG-13,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken"
175,Fargo,1996,8.1,98,745000,R,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Joel Coen, Ethan Coen","William H. Macy, Frances McDormand, Steve Buscemi"
176,Warrior,2011,8.1,140,509000,PG-13,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton"
177,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,130,983000,PG-13,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
178,Gran Torino,2008,8.1,116,832000,G,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Clint Eastwood,"Clint Eastwood, Bee Vang, Christopher Carley"
179,Spider-Man: No Way Home,2021,8.2,148,929000,R,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch"
180,Million Dollar Baby,2004,8.1,132,739000,G,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman"
181,My Neighbor Totoro,1988,8.1,86,399000,PG,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto"
182,Mad Max: Fury Road,2015,8.1,120,1100000,PG,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult"
183,Ben-Hur,1959,8.1,212,260000,R,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd"
184,Children of Heaven,1997,8.2,89,84000,R,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,"Reza Naji, Amir Farrokh Hashemian, Bahare Seddiqi"
185,Barry Lyndon,1975,8.1,185,190000,R,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee"
186,12 Years a Slave,2013,8.1,134,757000,R,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender"
187,Before Sunrise,1995,8.1,101,353000,R,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert"
188,Blade Runner,1982,8.1,117,845000,PG,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young"
189,The Grand Budapest Hotel,2014,8.1,99,914000,R,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric"
190,Hacksaw Ridge,2016,8.1,139,624000,Not Rated,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey"
191,Dead Poets Society,1989,8.1,128,578000,R,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke"
192,Gone Girl,2014,8.1,149,1100000,G,The husband of a missing woman becomes the chief suspect in her disappearance.,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris"
193,Memories of Murder,2003,8.1,132,232000,Approved,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,"Song Kang-ho, Kim Sang-kyung, Kim Roe-ha"
194,In the Name of the Father,1993,8.1,133,193000,G,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.",Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie"
195,"Monsters, Inc.",2001,8.1,92,1000000,R,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Pete Docter, David Silverman, Lee Unkrich","Billy Crystal, John Goodman, Mary Gibbs"
196,The Gold Rush,1925,8.1,95,122000,PG,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray"
197,Ratatouille,2007,8.1,111,867000,PG,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Brad Bird, Jan Pinkava","Brad Garrett, Lou Romano, Patton Oswalt"
198,Wild Tales,2014,8.1,122,225000,Passed,Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,"Darío Grandinetti, María Marull, Mónica Villa"
199,How to Train Your Dragon,2010,8.1,98,829000,R,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse"
200,Jaws,1975,8.1,124,685000,Passed,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss"
201,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,8.6,87,29000,Not Rated,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.,Haruo Sotozaki,
202,Sherlock Jr.,1924,8.2,45,60000,PG-13,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton"
203,The Deer Hunter,1978,8.1,183,372000,Not Rated,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale"
204,The General,1926,8.1,78,101000,Approved,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.","Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender"
205,Mary and Max,2009,8.1,92,194000,Approved,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.",Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Eric Bana"
206,Maharaja,2024,8.4,141,61000,Not Rated,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",Nithilan Saminathan,"Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas"
207,Ford v Ferrari,2019,8.1,152,509000,Approved,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal"
208,The Wages of Fear,1953,8.1,156,69000,R,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Peter van Eyck"
209,On the Waterfront,1954,8.1,108,170000,PG,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb"
210,Mr. Smith Goes to Washington,1939,8.1,129,125000,Not Rated,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Frank Capra,"James Stewart, Jean Arthur, Claude Rains"
211,Wild Strawberries,1957,8.1,92,119000,R,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin"
212,The Third Man,1949,8.1,104,188000,Not Rated,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli"
213,Logan,2017,8.1,137,876000,R,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen"
214,Rocky,1976,8.1,120,651000,R,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young"
215,Tokyo Story,1953,8.1,137,72000,R,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura"
216,The Big Lebowski,1998,8.1,117,881000,PG-13,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Joel Coen, Ethan Coen","Jeff Bridges, John Goodman, Julianne Moore"
217,The Seventh Seal,1957,8.1,96,205000,PG-13,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot"
218,Spotlight,2015,8.1,129,514000,R,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams"
219,Room,2015,8.1,118,463000,Not Rated,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers"
220,The Terminator,1984,8.1,107,953000,Approved,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn"
221,Hotel Rwanda,2004,8.1,121,381000,R,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix"
222,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,143,1200000,Approved,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom"
223,Platoon,1986,8.1,120,450000,Passed,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe"
224,La haine,1995,8.1,98,207000,R,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui"
225,Jai Bhim,2021,8.7,164,223000,G,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K."
226,Before Sunset,2004,8.1,80,298000,PG,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff"
227,The Best Years of Our Lives,1946,8.1,170,73000,R,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",William Wyler,"Myrna Loy, Dana Andrews, Fredric March"
228,The Passion of Joan of Arc,1928,8.1,114,63000,G,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley"
229,The Exorcist,1973,8.1,122,471000,R,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",William Friedkin,"Ellen Burstyn, Max von Sydow, Linda Blair"
230,The Wizard of Oz,1939,8.1,102,445000,R,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Victor Fleming, King Vidor","Judy Garland, Frank Morgan, Ray Bolger"
