Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3
Christopher Robin,2018,7.2,104,87000,PG,60.0,"A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.",Marc Forster,Ewan McGregor, Hayley Atwell, Bronte Carmichael
Vanishing Point,1971,7.2,99,31000,R,61.0,"During the 1970s, car-delivery driver Kowalski delivers hot rods in record time, but always runs into trouble.",Richard C. Sarafian,Barry Newman, Cleavon Little, Charlotte Rampling
Murder by Death,1976,7.2,95,43000,PG,59.0,Five famous literary detective characters and their sidekicks are invited to a bizarre mansion to solve an even stranger mystery.,Robert Moore,Peter Falk, Alec Guinness, Peter Sellers
The Dead Zone,1983,7.2,103,80000,R,69.0,A man awakens from a coma to discover he has a psychic ability to foresee future events.,David Cronenberg,Christopher Walken, Brooke Adams, Tom Skerritt
Mother and Child,2009,7.2,125,13000,R,64.0,"A drama centered around three women: A fifty-year-old woman, the daughter she gave up for adoption thirty-five years ago, and a woman looking to adopt a child of her own.",Rodrigo García,Naomi Watts, Annette Bening, Kerry Washington
Mongol: The Rise of Genghis Khan,2007,7.2,126,50000,R,74.0,The story recounts the early life of Genghis Khan who was a slave before going on to conquer half the world in 1206.,Sergei Bodrov,Tadanobu Asano, Amadu Mamadakov, Khulan Chuluun
The Report,2019,7.2,119,53000,R,66.0,"Idealistic Senate staffer Daniel J. Jones, tasked by his boss to lead an investigation into the CIA's post 9/11 Detention and Interrogation Program, uncovers shocking secrets.",Scott Z. Burns,Adam Driver, Annette Bening, Jon Hamm
Crazy Heart,2009,7.2,112,96000,R,83.0,A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.,Scott Cooper,Jeff Bridges, Maggie Gyllenhaal, Colin Farrell
Men of Honor,2000,7.2,129,128000,R,56.0,"Carl Brashear is an ambitious sharecropper who joins the U.S. Navy to become the world's first black master diver. But as he works through diving training, the racist Master Chief sets out to make Carl's journey as difficult as possible.",George Tillman Jr.,Cuba Gooding Jr., Robert De Niro, Charlize Theron
Pay It Forward,2000,7.2,123,126000,PG-13,40.0,A young boy attempts to make the world a better place after his teacher gives him that chance.,Mimi Leder,Kevin Spacey, Haley Joel Osment, Helen Hunt
The Hudsucker Proxy,1994,7.2,111,87000,PG,53.0,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,"Joel Coen, Ethan Coen",Tim Robbins, Paul Newman, Jennifer Jason Leigh
Till,2022,7.2,130,16000,PG-13,77.0,"In 1955, after Emmett Till is murdered in a brutal lynching, his mother vows to expose the racism behind the attack while working to have those involved brought to justice.",Chinonye Chukwu,Danielle Deadwyler, Jalyn Hall, Frankie Faison
Drugstore Cowboy,1989,7.2,101,42000,R,82.0,A pharmacy-robbing dope fiend and his crew pop pills and evade the law.,Gus Van Sant,Matt Dillon, Kelly Lynch, James Le Gros
El Topo,1970,7.2,125,32000,Not Rated,65.0,A mysterious black-clad gunfighter wanders a mystical Western landscape encountering multiple bizarre characters.,Alejandro Jodorowsky,Alejandro Jodorowsky, Brontis Jodorowsky, José Legarreta
Compartment Number 6,2021,7.2,107,17000,R,80.0,"As a train weaves its way up to the arctic circle, two strangers share a journey that will change their perspective on life.",Juho Kuosmanen,Seidi Haarla, Yura Borisov, Dinara Drukarova
An Education,2009,7.2,100,139000,PG-13,85.0,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.",Lone Scherfig,Carey Mulligan, Peter Sarsgaard, Alfred Molina
The Transformers: The Movie,1986,7.2,84,43000,PG,43.0,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",Nelson Shin,Orson Welles, Robert Stack, Leonard Nimoy
Reversal of Fortune,1990,7.2,111,20000,R,93.0,"Wealthy Sunny von Bülow lies brain-dead, husband Claus guilty of attempted murder; but he says he's innocent and hires Alan Dershowitz for his appeal.",Barbet Schroeder,Jeremy Irons, Glenn Close, Ron Silver
Magnum Force,1973,7.2,124,69000,R,58.0,"Inspector ""Dirty"" Harry Callahan pursues a conspiracy of vigilante cops, who are not above going beyond the law to kill San Francisco's undesirables.",Ted Post,Clint Eastwood, Hal Holbrook, Mitchell Ryan
Quadrophenia,1979,7.2,120,22000,R,79.0,"Jimmy Cooper loathes his dead-end job and his working-class parents. He seeks solace with his mod clique, scooter riding, and drugs, only to be disappointed.",Franc Roddam,Phil Daniels, Leslie Ash, Phil Davis
Arlington Road,1999,7.2,117,94000,R,65.0,A man begins to suspect his neighbors are not what they appear to be and their secrets could be deadly.,Mark Pellington,Jeff Bridges, Tim Robbins, Joan Cusack
Wish Dragon,2021,7.2,98,35000,PG,59.0,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,Chris Appelhans,Jimmy Wong, John Cho, Constance Wu
Django,1966,7.2,91,32000,R,75.0,A coffin-dragging gunslinger and a prostitute become embroiled in a bitter feud between a Klan of Southern racists and a band of Mexican Revolutionaries.,Sergio Corbucci,Franco Nero, José Canalejas, José Bódalo
Honey Boy,2019,7.2,94,42000,R,73.0,A young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health.,Alma Har'el,Shia LaBeouf, Lucas Hedges, Noah Jupe
The Man Who Knew Infinity,2015,7.2,108,64000,PG-13,56.0,"The story of the life and academic career of the pioneer Indian mathematician, Srinivasa Ramanujan, and his friendship with his mentor, Professor G.H. Hardy.",Matt Brown,Dev Patel, Jeremy Irons, Malcolm Sinclair
Animal Kingdom,2010,7.2,113,62000,R,83.0,A seventeen-year-old navigates his survival amongst an explosive criminal family and the detective who thinks he can save him.,David Michôd,James Frecheville, Guy Pearce, Joel Edgerton
Dumbo,1941,7.2,64,146000,G,96.0,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.","Samuel Armstrong, Norman Ferguson, Wilfred Jackson",Sterling Holloway, Edward Brophy, James Baskett
The Light Between Oceans,2016,7.2,133,61000,PG-13,60.0,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat.,Derek Cianfrance,Michael Fassbender, Alicia Vikander, Rachel Weisz
Strictly Ballroom,1992,7.2,94,30000,PG,72.0,A maverick dancer risks his career by performing an unusual routine and sets out to succeed with a new partner.,Baz Luhrmann,Paul Mercurio, Tara Morice, Bill Hunter
Dope,2015,7.2,103,90000,R,72.0,"Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure.",Rick Famuyiwa,Shameik Moore, Tony Revolori, Kiersey Clemons
The Way of the Dragon,1972,7.2,90,42000,R,58.0,"A country bumpkin martial artist visits his relatives in Rome, Italy, where he must defend them and their restaurant against harassment from brutal gangsters.",Bruce Lee,Bruce Lee, Chuck Norris, Nora Miao
In the Valley of Elah,2007,7.2,121,76000,R,65.0,A retired military investigator works with a police detective to uncover the truth behind his son's disappearance following his return from a tour of duty in Iraq.,Paul Haggis,Tommy Lee Jones, Charlize Theron, Jonathan Tucker
A Mighty Wind,2003,7.2,91,30000,PG-13,81.0,Mockumentary captures the reunion of 1960s folk trio the Folksmen as they prepare for a show at The Town Hall to memorialize a recently deceased concert promoter.,Christopher Guest,Christopher Guest, Eugene Levy, Michael McKean
Wonder Boys,2000,7.2,107,67000,R,74.0,"An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in.",Curtis Hanson,Michael Douglas, Tobey Maguire, Frances McDormand
Conviction,2010,7.2,107,47000,R,61.0,"A working mother puts herself through law school in an effort to represent her brother, who has been wrongfully convicted of murder and has exhausted his chances to appeal his conviction through public defenders.",Tony Goldwyn,Hilary Swank, Sam Rockwell, Melissa Leo
Love & Basketball,2000,7.2,124,25000,PG-13,72.0,Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.,Gina Prince-Bythewood,Sanaa Lathan, Omar Epps, Glenndon Chatman
Pump Up the Volume,1990,7.2,102,32000,R,77.0,Mark runs a pirate radio station and causes an uproar when he speaks his mind and enthralls fellow teens.,Allan Moyle,Christian Slater, Samantha Mathis, Anthony Luke Lucero
The Misfits,1961,7.2,125,24000,Approved,77.0,A divorcée falls for an over-the-hill cowboy who is struggling to maintain his romantically-independent lifestyle.,John Huston,Clark Gable, Marilyn Monroe, Montgomery Clift
Sleep Tight,2011,7.2,102,48000,Not Rated,70.0,"César is the superintendent of an apartment building and keeps very close tabs on the tenants. He secretly enjoys inflicting pain on others, and the occupant of apartment 5B will be his new target.",Jaume Balagueró,Luis Tosar, Marta Etura, Alberto San Juan
Bad Boys,1983,7.2,123,18000,R,53.0,"Chicago crime kid, Mick O'Brien, is sent to reform school after accidentally killing a rival's kid brother.",Rick Rosenthal,Sean Penn, Reni Santoni, Jim Moody
Columbus,2017,7.2,100,22000,Not Rated,89.0,"A Korean-born man finds himself stuck in Columbus, Indiana, where his architect father is in a coma. The man meets a young woman who wants to stay in Columbus with her mother, a recovering addict, instead of pursuing her own dreams.",Kogonada,John Cho, Haley Lu Richardson, Parker Posey
Old Yeller,1957,7.2,83,16000,Approved,84.0,"A teenage boy grows to love a stray yellow dog while helping his mother and younger brother run their Texas homestead while their father is away on a cattle drive. First thought to be good-for-nothing mutt, Old Yeller is soon beloved by all.",Robert Stevenson,Dorothy McGuire, Fess Parker, Tommy Kirk
The Beguiled,1971,7.2,105,20000,R,66.0,"While recuperating in a Confederate girls' boarding school, a Union soldier cons his way into each of the lonely women's hearts, causing them to turn on each other, and eventually, on him.",Don Siegel,Clint Eastwood, Geraldine Page, Elizabeth Hartman
Shallow Grave,1994,7.2,89,68000,R,69.0,Three friends discover their new flatmate dead but loaded with cash.,Danny Boyle,Kerry Fox, Christopher Eccleston, Ewan McGregor
The Andromeda Strain,1971,7.2,131,42000,G,60.0,"Top scientists work feverishly in a secret, state-of-the-art laboratory to discover what killed the citizens of a small town and how the deadly contagion can be stopped.",Robert Wise,James Olson, Arthur Hill, David Wayne
"Paris, Je T'aime",2006,7.2,120,75000,R,66.0,"Through the neighborhoods of Paris, love is veiled, revealed, imitated, sucked dry, reinvented, and awakened.","Olivier Assayas, Frédéric Auburtin, Gurinder Chadha",Juliette Binoche, Leonor Watling, Ludivine Sagnier
The Great Race,1965,7.2,160,20000,Approved,71.0,"In the early 20th century, heroic Leslie Gallant and his despicable rival Professor Fate engage in an epic automobile race from New York to Paris while enthusiastic suffragette Maggie Dubois enters the race to report on every step of it.",Blake Edwards,Tony Curtis, Natalie Wood, Jack Lemmon
The Tale,2018,7.2,114,20000,TV-MA,90.0,A woman filming a documentary on childhood rape victims starts to question the nature of her childhood relationship with her riding instructor and running coach.,Jennifer Fox,Laura Dern, Jason Ritter, Common
The Wife,2017,7.2,99,44000,R,77.0,A wife questions her life choices as she travels to Stockholm to see her husband receive the Nobel Prize for Literature.,Björn Runge,Glenn Close, Jonathan Pryce, Max Irons
Merry Christmas Mr. Lawrence,1983,7.2,123,21000,R,53.0,"During WWII, a British colonel tries to bridge the cultural divides between a British POW and the Japanese camp commander in order to avoid bloodshed.",Nagisa Ôshima,David Bowie, Tom Conti, Ryuichi Sakamoto
Arizona Dream,1993,7.2,142,47000,R,62.0,A young New Yorker goes to Arizona where he finds freedom to both love and dream.,Emir Kusturica,Johnny Depp, Jerry Lewis, Faye Dunaway
The Young Victoria,2009,7.2,105,68000,PG,64.0,"A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert.",Jean-Marc Vallée,Emily Blunt, Rupert Friend, Paul Bettany
Breakfast on Pluto,2005,7.2,128,25000,R,59.0,"In the 1970s, a young trans woman, Patrick ""Kitten"" Braden, comes of age by leaving her Irish town for London, in part to look for her mother and in part because her gender identity is beyond the town's understanding.",Neil Jordan,Cillian Murphy, Morgan Jones, Eva Birthistle
Fist of Fury,1972,7.2,107,35000,R,68.0,"During the Japanese occupation of Shanghai, the star pupil of a recently-deceased martial arts teacher battles a Japanese dojo which seeks the demise of his master's fighting school.",Wei Lo,Bruce Lee, Nora Miao, James Tien
Calamity Jane,1953,7.2,101,11000,Approved,74.0,"The story of Calamity Jane, her saloon, and her romance with Wild Bill Hickok.",David Butler,Doris Day, Howard Keel, Allyn Ann McLerie
Polytechnique,2009,7.2,77,20000,Not Rated,63.0,"A dramatization of the 1989 Montréal Massacre, during which several female engineering students were murdered by an unstable misogynist.",Denis Villeneuve,Maxim Gaudette, Sébastien Huberdeau, Karine Vanasse
Wristcutters: A Love Story,2006,7.2,88,58000,R,62.0,A film set in a strange afterlife way station that has been reserved for people who have committed suicide.,Goran Dukic,Patrick Fugit, Shea Whigham, Tom Waits
Testament of Youth,2014,7.2,129,31000,PG-13,76.0,"A British woman recalls coming of age during World War I - a story of young love, the futility of war, and how to make sense of the darkest times.",James Kent,Alicia Vikander, Kit Harington, Taron Egerton
Scarecrow,1973,7.2,112,20000,R,72.0,"An ex-con drifter with a penchant for brawling is amused by a homeless ex-sailor, so they partner up as they head east together.",Jerry Schatzberg,Gene Hackman, Al Pacino, Dorothy Tristan
Anomalisa,2015,7.2,90,77000,R,88.0,A man crippled by the mundanity of his life experiences something out of the ordinary.,"Duke Johnson, Charlie Kaufman",David Thewlis, Jennifer Jason Leigh, Tom Noonan
Defending Your Life,1991,7.2,112,22000,PG,63.0,"In an afterlife way-station resembling a major city, the lives of the recently deceased are examined in a court-like setting.",Albert Brooks,Albert Brooks, Meryl Streep, Rip Torn
Brian Banks,2018,7.2,99,10000,PG-13,58.0,"A football player's dreams to play in the NFL are halted when he is wrongly convicted and sent to prison. Years later, he fights to clear his name within an unjust system.",Tom Shadyac,Aldis Hodge, Greg Kinnear, Sherri Shepherd
The Man from Snowy River,1982,7.2,102,10000,PG,63.0,"In 1880s Australia, after young Jim Craig's father dies, he takes a job at the Harrison cattle ranch, where he is forced to become a man.",George Miller,Kirk Douglas, Tom Burlinson, Terence Donovan
Secretariat,2010,7.2,123,31000,PG,61.0,"Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown.",Randall Wallace,Diane Lane, John Malkovich, Margo Martindale
Glory Road,2006,7.2,118,50000,PG,58.0,"In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship.",James Gartner,Josh Lucas, Derek Luke, Austin Nichols
The War Zone,1999,7.2,98,12000,R,68.0,"An alienated teenager, saddened that he has moved away from London, must find a way to deal with a dark family secret.",Tim Roth,Ray Winstone, Annabelle Apsion, Kate Ashfield
The Madness of King George,1994,7.2,110,19000,PG-13,89.0,"When King George III goes mad, his Lieutenants try to adjust the rules to run the country without his participation.",Nicholas Hytner,Nigel Hawthorne, Helen Mirren, Rupert Graves
Ruby Sparks,2012,7.2,104,107000,R,67.0,"A novelist struggling with writer's block finds romance in a most unusual way: by creating a female character he thinks will love him, then willing her into existence.","Jonathan Dayton, Valerie Faris",Paul Dano, Zoe Kazan, Annette Bening
The End of the Tour,2015,7.2,106,33000,R,82.0,"The story of the five-day interview between Rolling Stone reporter David Lipsky and acclaimed novelist David Foster Wallace, which took place right after the 1996 publication of Wallace's groundbreaking epic novel, 'Infinite Jest.'",James Ponsoldt,Jason Segel, Jesse Eisenberg, Anna Chlumsky
The Sessions,2012,7.2,95,44000,R,79.0,A man in an iron lung who wishes to lose his virginity contacts a professional sex surrogate with the help of his therapist and priest.,Ben Lewin,John Hawkes, Helen Hunt, William H. Macy
Beginners,2010,7.2,105,96000,R,81.0,"Oliver, a graphic designer, is attracted to a free-spirited and unpredictable Anna. Memories of his father encourage him to open himself up to the potential of a true and long-lasting relationship.",Mike Mills,Ewan McGregor, Christopher Plummer, Mélanie Laurent
Super Size Me,2004,7.2,100,115000,PG-13,73.0,"While examining the influence of the fast food industry, Morgan Spurlock personally explores the consequences on his health of a diet of solely McDonald's food for one month.",Morgan Spurlock,Morgan Spurlock, Daryl Isaacs, Chemeeka Walker
Beasts of the Southern Wild,2012,7.2,93,86000,PG-13,86.0,"Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.",Benh Zeitlin,Quvenzhané Wallis, Dwight Henry, Levy Easterly
Them!,1954,7.2,94,25000,Approved,74.0,The earliest atomic tests in New Mexico cause common ants to mutate into giant man-eating monsters that threaten civilization.,Gordon Douglas,James Whitmore, Edmund Gwenn, Joan Weldon
The Cincinnati Kid,1965,7.2,102,19000,TV-14,67.0,An up-and-coming poker player tries to prove himself in a high-stakes match against a long-time master of the game.,"Norman Jewison, Sam Peckinpah",Steve McQueen, Ann-Margret, Edward G. Robinson
Rye Lane,2023,7.2,82,14000,R,82.0,Two youngsters reeling from bad breakups connect over an eventful day in South London.,Raine Allen-Miller,David Jonsson, Vivian Oparah, Poppy Allen-Quarmby
Eight Men Out,1988,7.2,119,23000,PG,71.0,A dramatization of the Black Sox scandal when the underpaid Chicago White Sox accepted bribes to deliberately lose the 1919 World Series.,John Sayles,John Cusack, Clifton James, Jace Alexander
Dirty Pretty Things,2002,7.2,97,45000,R,78.0,"Irregular migrants Okwe and Senay work at a posh London hotel and live in constant fear of deportation. One night Okwe stumbles across evidence of a bizarre murder, setting off a series of events that could lead to disaster or freedom.",Stephen Frears,Chiwetel Ejiofor, Audrey Tautou, Sophie Okonedo
Harry Brown,2009,7.2,103,93000,R,55.0,An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.,Daniel Barber,Michael Caine, Emily Mortimer, David Bradley
Department Q: The Keeper of Lost Causes,2013,7.2,96,34000,Not Rated,62.0,"Police inspector Carl Mørck is put in charge of a department of cold cases, joined only by his assistant Assad. They dig into a case about a missing woman.",Mikkel Nørgaard,Nikolaj Lie Kaas, Per Scheel Krüger, Troels Lyby
Manderlay,2005,7.2,133,26000,Not Rated,46.0,"A story of slavery, set in the southern U.S. in the 1930s.",Lars von Trier,Bryce Dallas Howard, Isaach De Bankolé, Danny Glover
El Cid,1961,7.2,182,16000,Approved,79.0,The fabled Spanish hero Rodrigo Diaz de Vivar (a.k.a. El Cid) overcomes a family vendetta and court intrigue to defend Christian Spain against the Moors.,Anthony Mann,Charlton Heston, Sophia Loren, Raf Vallone
Grand Prix,1966,7.2,176,11000,Approved,72.0,"American Grand Prix driver Pete Aron is fired by his Jordan-BRM racing team after a crash at Monaco that injures his British teammate, Scott Stoddard.",John Frankenheimer,James Garner, Eva Marie Saint, Yves Montand
Mutiny on the Bounty,1962,7.2,178,18000,Approved,48.0,"In 1787, British ship Bounty leaves Portsmouth to bring a cargo of bread-fruit from Tahiti, but the savage on-board conditions imposed by Captain Bligh trigger a mutiny led by first officer Fletcher Christian.","Lewis Milestone, Carol Reed, George Seaton",Marlon Brando, Trevor Howard, Richard Harris
Children of a Lesser God,1986,7.2,119,19000,R,80.0,"A new speech teacher at a school for the deaf falls in love with the janitor, a deaf woman speechless by choice.",Randa Haines,William Hurt, Marlee Matlin, Piper Laurie
House of Games,1987,7.2,102,25000,R,78.0,"A psychiatrist comes to the aid of a compulsive gambler and is led by a smooth-talking grifter into the shadowy but compelling world of stings, scams, and con men.",David Mamet,Lindsay Crouse, Joe Mantegna, Mike Nussbaum
Minamata,2020,7.2,115,24000,R,55.0,War photographer W. Eugene Smith travels back to Japan where he documents the devastating effect of mercury poisoning in coastal communities.,Andrew Levitas,Akiko Iwase, Kogarashi Wakasugi, Johnny Depp
Peaceful Warrior,2006,7.2,120,30000,PG-13,40.0,"Dan, a college student and a world-champion gymnast, is disturbed and wants to add some meaning to his life. A chance encounter leads him to discover an enlightened way ahead.",Victor Salva,Scott Mechlowicz, Nick Nolte, Amy Smart
Dolemite Is My Name,2019,7.2,118,66000,R,76.0,"Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.",Craig Brewer,Eddie Murphy, Keegan-Michael Key, Mike Epps
Two-Lane Blacktop,1971,7.2,102,14000,R,89.0,"While drag-racing through the American Southwest in a Chevrolet 150, a driver and his mechanic cross paths with an enigmatic hitchhiker and the tall-tale-spinning driver of a GTO.",Monte Hellman,James Taylor, Warren Oates, Laurie Bird
Certified Copy,2010,7.2,106,28000,Not Rated,82.0,"In Tuscany to promote his latest book, a middle-aged British writer meets a French woman who leads him to the village of Lucignano. While there, a chance question reveals something deeper.",Abbas Kiarostami,Juliette Binoche, William Shimell, Jean-Claude Carrière
She Wore a Yellow Ribbon,1949,7.2,104,20000,Approved,87.0,"Captain Nathan Brittles, on the eve of retirement, takes out a last patrol to stop an impending massive Indian attack. Encumbered by women who must be evacuated, Brittles finds his mission imperiled.",John Ford,John Wayne, Joanne Dru, John Agar
The Ipcress File,1965,7.2,109,18000,Approved,66.0,"In London, a wisecracking spy investigates the kidnapping and brainwashing of British scientists while dealing with the constraints of his agency's bureaucracy.",Sidney J. Furie,Michael Caine, Nigel Green, Guy Doleman
Words on Bathroom Walls,2020,7.2,110,15000,PG-13,61.0,"Diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to not be defined by his condition.",Thor Freudenthal,Charlie Plummer, Andy Garcia, Taylor Russell
Stan & Ollie,2018,7.2,98,41000,PG,75.0,"Laurel and Hardy, the world's most famous comedy duo, attempt to reignite their film careers as they embark on what becomes their swan song: a grueling theatre tour of post-war Britain.",Jon S. Baird,Steve Coogan, John C. Reilly, Shirley Henderson
Smoke Signals,1998,7.2,89,13000,PG-13,76.0,"Arnold rescued Thomas from a fire when he was a child. Thomas thinks of Arnold as a hero, while Arnold's son Victor resents his father's alcoholism, violence and abandonment of his family.",Chris Eyre,Adam Beach, Evan Adams, Irene Bedard
Truly Madly Deeply,1990,7.2,106,10000,PG,72.0,A woman dealing with inconsolable grief over the death of her partner gets another chance when he returns to earth as a ghost.,Anthony Minghella,Juliet Stevenson, Alan Rickman, Jenny Howe
Cat People,1942,7.2,73,27000,Approved,85.0,An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.,Jacques Tourneur,Simone Simon, Tom Conway, Kent Smith
Death and the Maiden,1994,7.2,103,28000,R,72.0,A political activist is convinced that her guest is a man who once tortured her for the government.,Roman Polanski,Sigourney Weaver, Ben Kingsley, Stuart Wilson
Birdy,1984,7.2,120,26000,R,71.0,After two friends return home from the Vietnam War one becomes mentally unstable and obsesses with becoming a bird.,Alan Parker,Matthew Modine, Nicolas Cage, John Harkins
Pamela: A Love Story,2023,7.2,112,13000,TV-MA,66.0,"Follows the life of pop culture icon Pamela Anderson, including never-before-seen archival footage and personal journals.",Ryan White,Pamela Anderson, Fran Drescher, Yasmine Bleeth
First They Killed My Father,2017,7.2,136,21000,TV-MA,72.0,Cambodian author and human rights activist Loung Ung recounts the horrors she suffered as a child under the rule of the deadly Khmer Rouge.,Angelina Jolie,Sareum Srey Moch, Phoeung Kompheak, Sveng Socheata
Broken Embraces,2009,7.2,127,43000,R,76.0,"Harry Caine, a blind writer, reaches this moment in time when he has to heal his wounds from 14 years back. He was then still known by his real name, Mateo Blanco, and directing his last movie.",Pedro Almodóvar,Penélope Cruz, Lluís Homar, Blanca Portillo
Hard Times,1975,7.2,93,13000,PG,69.0,The saga of a drifter who turns to illicit bare-knuckle boxing in Depression-era New Orleans.,Walter Hill,Charles Bronson, James Coburn, Jill Ireland
Giant Little Ones,2018,7.2,93,10000,R,67.0,"Two popular teen boys, best friends since childhood, discover their lives, families, and girlfriends dramatically upended after an unexpected incident occurs on the night of a 17th birthday party.",Keith Behrman,Josh Wiggins, Darren Mann, Taylor Hickson
Eve's Bayou,1997,7.2,108,12000,R,78.0,"What did little Eve see--and how will it haunt her? Husband, father and womanizer, Louis Batiste, is the head of an affluent family, but it's the women who rule this gothic world of secrets, lies and mystic forces.",Kasi Lemmons,Samuel L. Jackson, Jurnee Smollett, Meagan Good
The Spanish Prisoner,1997,7.2,110,27000,PG,71.0,An employee who develops a lucrative secret process for his corporation is tempted to betray the company when higher ups attempt to take the process from him. Dastardly intrigue ensues.,David Mamet,Steve Martin, Ben Gazzara, Campbell Scott
Brassed Off,1996,7.2,108,21000,R,60.0,"The coal mine in a northern English village may be closing, which would also mean the end of the miners' brass band.",Mark Herman,Pete Postlethwaite, Tara Fitzgerald, Ewan McGregor
The Killing of a Chinese Bookie,1976,7.2,135,15000,R,65.0,"A proud strip club owner is forced to come to terms with himself as a man when his gambling addiction gets him in hot water with the mob, who offer him only one alternative.",John Cassavetes,Ben Gazzara, Timothy Carey, Seymour Cassel
Babyteeth,2019,7.2,118,20000,MA-17,77.0,"Milla, a seriously ill teenager, falls in love with a drug dealer, Moses, her parents' worst nightmare.",Shannon Murphy,Eliza Scanlen, Michelle Lotters, Toby Wallace
The Science of Sleep,2006,7.2,105,71000,R,70.0,A man entranced by his dreams and imagination is love-struck with a French woman and feels he can show her his world.,Michel Gondry,Gael García Bernal, Charlotte Gainsbourg, Miou-Miou
Mrs. Brown,1997,7.2,101,16000,PG,71.0,"When Queen Victoria's husband Prince Albert dies, she finds solace in her trusted servant, Mr. John Brown, but their relationship also brings scandal and turmoil.",John Madden,Judi Dench, Billy Connolly, Geoffrey Palmer
The Buddy Holly Story,1978,7.2,114,10000,PG,78.0,"The story of the life and career of the early rock and roll singer, from his meteoric rise to stardom, to his marriage and untimely death.",Steve Rash,Gary Busey, Don Stroud, Charles Martin Smith
Dogman,2018,7.2,103,31000,Not Rated,71.0,"A timid dog groomer living in a poor suburb sells cocaine on the side and stays out of trouble, while trying to deal with his unstable, violent acquaintance who is a menace to the whole neighborhood.",Matteo Garrone,Marcello Fonte, Edoardo Pesce, Nunzia Schiano
Girl,2018,7.2,105,17000,R,73.0,A promising teenage dancer enrolls at a prestigious ballet school while grappling with her gender dysphoria.,Lukas Dhont,Victor Polster, Arieh Worthalter, Oliver Bodart
Private Life,2018,7.2,123,23000,R,83.0,"An author is undergoing multiple fertility therapies to get pregnant, putting her relationship with her husband on edge.",Tamara Jenkins,Kathryn Hahn, Paul Giamatti, Gabrielle Reid
Russian Ark,2002,7.2,99,22000,Not Rated,87.0,"A 19th century French aristocrat, notorious for his scathing memoirs about life in Russia, travels through the Russian State Hermitage Museum and encounters historical figures from the last 200+ years.",Aleksandr Sokurov,Sergey Dreyden, Mariya Kuznetsova, Leonid Mozgovoy
Broken,2012,7.2,91,15000,Not Rated,53.0,Three suburban English families' lives intertwine with tragic consequences.,Rufus Norris,Charlie Booty, Lily James, Tim Roth
The Beat That My Heart Skipped,2005,7.2,108,21000,Not Rated,75.0,"Will Thomas still lead a life of crime and cruelty, just like his thuggish father, or will he pursue his dream of becoming a pianist?",Jacques Audiard,Romain Duris, Aure Atika, Emmanuelle Devos
A Soldier's Story,1984,7.2,101,12000,PG,66.0,An African-American officer investigates a murder in a racially charged situation in World War II.,Norman Jewison,Howard E. Rollins Jr., Adolph Caesar, Art Evans
Me and You and Everyone We Know,2005,7.2,85,38000,R,76.0,A lonely shoe salesman and an eccentric performance artist struggle to connect in this unique take on contemporary life.,Miranda July,John Hawkes, Miranda July, Miles Thompson
Dheepan,2015,7.2,115,17000,R,76.0,Dheepan is a Sri Lankan Tamil warrior who flees to France and ends up working as a caretaker outside Paris.,Jacques Audiard,Jesuthasan Antonythasan, Kalieaswari Srinivasan, Claudine Vinasithamby
The Apostle,1997,7.2,134,15000,PG-13,83.0,"After his happy life spins out of control, a preacher from Texas changes his name, goes to Louisiana and starts preaching on the radio.",Robert Duvall,Robert Duvall, Todd Allen, Paul Bagget
